,Questions,NPS Score (CMPN),NPS Score (INFT),NPS Score (ETRX),NPS Score (EXTC),NPS Score (BIOMED),NPS Score (MMS)
0,How much of the syllabus was covered in the class?,14.285714285714292,75.0,0.0,-100.0,-100.0,-100.0
1, How well did the teachers prepare for the classes? ,42.857142857142854,75.0,-50.0,-50.0,-100.0,100.0
2,How well were the teachers able to communicate?,28.571428571428573,25.0,0.0,-100.0,-33.333333333333336,-100.0
3,The teacherâ€™s approach to teaching can best be described as,14.285714285714292,-50.0,-100.0,-50.0,-33.333333333333336,100.0
4,Fairness of the internal evaluation process by the teachers.,0.0,-25.0,-50.0,-100.0,-33.333333333333336,0.0
5,Was your performance in assignments discussed with you?,0.0,75.0,-50.0,-100.0,100.0,100.0
6,"The institute takes active interest in promoting internship, student exchange, field visit opportunities for students",28.571428571428573,100.0,0.0,-100.0,0.0,-100.0
7,"The teaching and mentoring process in your institution facilitates you in cognitive, social and emotional growth. ",0.0,100.0,-100.0,0.0,0.0,100.0
8,The institution provides multiple opportunities to learn and grow.,0.0,-50.0,-50.0,0.0,0.0,-100.0
9,"Teachers inform you about your expected competencies, course outcomes and programme outcomes",14.285714285714292,50.0,-50.0,-100.0,100.0,100.0
10, Your mentor does a necessary follow-up with an assigned task to you.,0.0,0.0,-50.0,-100.0,100.0,-100.0
11,The teachers illustrate the concepts through examples and applications. ,28.571428571428573,-50.0,-50.0,-100.0,100.0,-100.0
12,The teachers identify your strengths and encourage you with providing right level of challenges,28.571428571428573,75.0,0.0,-100.0,100.0,-100.0
13,Teachers are able to identify your weaknesses and help you to overcome them,-14.285714285714292,50.0,-50.0,-100.0,100.0,0.0
14,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching learning process.",-14.285714285714292,0.0,0.0,-100.0,100.0,100.0
15,"The institute/ teachers use student centric methods, such as experiential learning, participative learning and problem solving methodologies for enhancing learning experiences.",42.85714285714286,0.0,-50.0,-100.0,100.0,100.0
16,Teachers encourage you to participate in extracurricular activities. ,28.571428571428573,0.0,0.0,-100.0,100.0,0.0
17,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",14.285714285714292,50.0,-50.0,-100.0,100.0,0.0
18,"What percentage of teachers use ICT tools such as LCD projector, Multimedia, etc. while teaching",28.571428571428573,100.0,0.0,-50.0,100.0,-100.0
19,The overall quality of teaching-learning process in your institute is very good.,-14.285714285714292,100.0,0.0,-50.0,100.0,-100.0
